TotalSalesValue,AllocatedValue,Status,QtyAllocated,xLineNumber,InvoiceDate,SalesQuantity,SalesQtyAllocated,InvoiceNo,ItemNumber,ItemDescription,DutyFreePaid,pCNumber,pRegistrationDate,pQuantity,pQtyAllocated,PiQuantity,xCNumber,xRegistrationDate,pLineNumber,SalesCost,Total_CIF_itm,DutyLiability,TaxAmount,pIsAssessed,DoNotAllocateSales,DoNotAllocatePreviousEntry,SANumber,pReferenceNumber,xReferenceNumber,TariffCode,Invalid,pExpiryDate
"0.559999987483025","0.0599999986588955","Over Allocated Entry by 3","3",,"9/1/2018 12:00:00 AM","28","25","GB00043234","FAA/SSTO6X34","SelfTapping Screw, SS #6 x 3/4"" Oval Phi","Duty Free","37713","10/5/2018 12:00:00 AM","25","25",,,,"248","0.0199999995529652","0.75","0.17","0","True",,,"2","OPS-2018-08-31-F7",,"73181200","False","10/4/2020 12:00:00 AM"
"0.560000002384186","0.560000002384186","No Asycuda Entries Found","1",,"9/1/2018 12:00:00 AM","1","0","GB00043236","8BM/PM-PAINTSTICK","Paint-Stick, 12"" Wood Labelled Budget Ma","Duty Free",,,,,,,,,"0.560000002384186",,,"0",,,,"3",,,,,
"0.560000002384186","0.560000002384186","No Asycuda Entries Found","1",,"9/1/2018 12:00:00 AM","1","0","GB00043236","8BM/PM-PAINTSTICK","Paint-Stick, 12"" Wood Labelled Budget Ma","Duty Free",,,,,,,,,"0.560000002384186",,,"0",,,,"4",,,,,
"-67.120002746582","-67.120002746582","Returned More than Sold","-1",,"9/3/2018 12:00:00 AM","-1","0","GB00043290","SEH/1000T","Tin Booster, 8oz","Duty Free",,,,,,,,,"67.120002746582",,,"0",,,,"1",,,,,
"-67.120002746582","-67.120002746582","Returned More than Sold","-1",,"9/3/2018 12:00:00 AM","-1","0","GB00043290","SEH/1000T","Tin Booster, 8oz","Duty Free",,,,,,,,,"67.120002746582",,,"0",,,,"2",,,,,
"-437.779998779297","-437.779998779297","Returned More than Sold","-1",,"9/3/2018 12:00:00 AM","-1","0","GB00043290","SEH/1005GH","Antifouling, Islands 44 Plus Black Hard","Duty Free",,,,,,,,,"437.779998779297",,,"0",,,,"3",,,,,
"-437.779998779297","-437.779998779297","Returned More than Sold","-1",,"9/3/2018 12:00:00 AM","-1","0","GB00043290","SEH/1005GH","Antifouling, Islands 44 Plus Black Hard","Duty Free",,,,,,,,,"437.779998779297",,,"0",,,,"4",,,,,
"-437.779998779297","-437.779998779297","Returned More than Sold","-1",,"9/3/2018 12:00:00 AM","-1","0","GB00043290","SEH/1005GH","Antifouling, Islands 44 Plus Black Hard","Duty Free",,,,,,,,,"437.779998779297",,,"0",,,,"5",,,,,
"-437.779998779297","-437.779998779297","Returned More than Sold","-1",,"9/3/2018 12:00:00 AM","-1","0","GB00043290","SEH/1005GH","Antifouling, Islands 44 Plus Black Hard","Duty Free",,,,,,,,,"437.779998779297",,,"0",,,,"6",,,,,
"-32.4599990844727","-32.4599990844727","Returned More than Sold","-1",,"9/3/2018 12:00:00 AM","-1","0","GB00043305","LWM/19701000","Grease, f/Winch Tube:100g/3.5oz","Duty Free",,,,,,,,,"32.4599990844727",,,"0",,,,"1",,,,,
"-186.520004272461","-186.520004272461","No Asycuda Entries Found","-1",,"9/3/2018 12:00:00 AM","-1","0","GB00043345","PLC/MKL12BR","Polycarbonate, Makrolon-GP 1/2"" Bronze /","Duty Free",,,,,,,,,"186.520004272461",,,"0",,,,"1",,,,,
"-186.520004272461","-186.520004272461","No Asycuda Entries Found","-1",,"9/3/2018 12:00:00 AM","-1","0","GB00043345","PLC/MKL12BR","Polycarbonate, Makrolon-GP 1/2"" Bronze /","Duty Free",,,,,,,,,"186.520004272461",,,"0",,,,"2",,,,,
