DocumentType,CNumber,RegistrationDate,LineNumber,ItemNumber,Description_of_goods,Commercial_Description,ItemQuantity,PiQuantity,SalesFactor,DPQtyAllocated,DFQtyAllocated,Gross_weight_itm,Net_weight_itm,Item_price,Total_CIF_itm,DutyLiability,Suppplementary_unit_code,TariffCode,TariffCodeLicenseRequired,TariffCategoryLicenseRequired,TariffCodeDescription,Freight,Statistical_value,ImportComplete,Number_of_packages,Country_of_origin_code,PiWeight,Currency_rate,Currency_code,InvalidHSCode,IsAssessed,DoNotAllocate,DoNotEX,AttributeOnlyAllocation,WarehouseError
EX9,41526,11/17/2016 0:00,101,089222P,OTHER,Cleaner-StnRm Rust 22oz,6,0,1,0,0,1,1,0,124.4400024,,NMB,34022090,,,Other,0,0,TRUE,0,,0,1,,,TRUE,,,,
EX9,41526,11/17/2016 0:00,103,089222P,OTHER,Cleaner-StnRm Rust 22oz,1,0,1,0,0,0.039999999,0.039999999,0,20.87000084,,NMB,34022090,,,Other,0,0,TRUE,0,,0,1,,,TRUE,,,,
EX9,44865,12/7/2016 0:00,76,089222P,OTHER,Cleaner-StnRm Rust 22oz,8,0,1,0,0,0.330000013,0.330000013,0,166.9299927,,NMB,34022090,,,Other,0,0,TRUE,0,,0,1,,,TRUE,,,,
EX9,2870,1/17/2017 0:00,88,089222P,,Cleaner-StnRm Rust 22oz,3,0,1,0,0,0.119999997,0.119999997,0,62.59999847,,NMB,34022090,,,Other,0,0,TRUE,0,,0,1,,,TRUE,,,,
EX9,9583,3/13/2017 0:00,86,089222P,OTHER,Cleaner-StnRm Rust 22oz,6,0,1,0,0,0.25,0.25,0,125.1999969,,NMB,34022090,,,Other,0,0,TRUE,0,,0,1,,,TRUE,,,,
EX9,9618,3/13/2017 0:00,92,089222P,OTHER,Cleaner-StnRm Rust 22oz,2,0,1,0,0,0.079999998,0.079999998,0,41.72999954,,NMB,34022090,,,Other,0,0,TRUE,0,,0,1,,,TRUE,,,,
EX9,24248,7/3/2017 0:00,88,089222P,OTHER,Cleaner-StnRm Rust 22oz,3,0,1,0,0,0.119999997,0.119999997,0,62.59999847,,NMB,34022090,,,Other,0,0,TRUE,0,,0,1,,,TRUE,,,,
EX9,38032,10/3/2017 0:00,66,089222P,,Cleaner-StnRm Rust 22oz,1,0,1,0,0,0.059999999,0.059999999,0,20.87000084,,NMB,34022090,,,Other,0,0,TRUE,0,,0,1,,,TRUE,,,,
EX9,45828,11/24/2017 0:00,24,089222P,OTHER,Cleaner-StnRm Rust 22oz,2,0,1,0,0,2,2,0,42.38999939,,NMB,34022090,,,Other,0,0,TRUE,0,,0,1,,,TRUE,,,,
EX9,45829,11/24/2017 0:00,73,089222P,OTHER,Cleaner-StnRm Rust 22oz,4,0,1,0,0,4,4,0,84.79000092,,NMB,34022090,,,Other,0,0,TRUE,0,,0,1,,,TRUE,,,,
EX9,45833,11/24/2017 0:00,82,089222P,OTHER,Cleaner-StnRm Rust 22oz,2,0,1,0,0,0.170000002,0.170000002,0,55.5,,NMB,34022090,,,Other,0,0,TRUE,0,,0,1,,,TRUE,,,,
EX9,45833,11/24/2017 0:00,49,089222P,OTHER,Cleaner-StnRm Rust 22oz,3,0,1,0,0,1,1,0,61.29000092,,NMB,34022090,,,Other,0,0,TRUE,0,,0,1,,,TRUE,,,,
EX9,45835,11/24/2017 0:00,53,089222P,,Cleaner-StnRm Rust 22oz,4,0,1,0,0,0.330000013,0.330000013,0,111,,NMB,34022090,,,Other,0,0,TRUE,0,,0,1,,,TRUE,,,,
EX9,45837,11/24/2017 0:00,65,089222P,,Cleaner-StnRm Rust 22oz,6,0,1,0,0,0.5,0.5,0,166.5099945,,NMB,34022090,,,Other,0,0,TRUE,0,,0,1,,,TRUE,,,,
EX9,12804,4/6/2018 0:00,32,089222P,OTHER,CLEANER STMRM RUST,2,0,1,0,0,0.330000013,0.330000013,0,42.86000061,,NMB,34029090,,,Other,0,0,TRUE,0,,0,1,,,TRUE,,,,
EX9,12969,4/7/2018 0:00,59,089222P,OTHER,CLEANER STMRM RUST,4,0,1,0,0,0.670000017,0.670000017,0,85.73000336,,NMB,34029090,,,Other,0,0,TRUE,0,,0,1,,,TRUE,,,,
EX9,17638,5/14/2018 0:00,68,089222P,,Cleaner-StnRm Rust 22oz,1,0,1,0,0,0.170000002,0.170000002,0,21.43000031,,NMB,34029090,,,Other,0,0,TRUE,0,,0,1,,,TRUE,,,,
EX9,17638,5/14/2018 0:00,69,089222P,,Cleaner-StnRm Rust 22oz,3,0,1,0,0,0.330000013,0.330000013,0,64.05999756,,NMB,34029090,,,Other,0,0,TRUE,0,,0,1,,,TRUE,,,,
EX9,24295,7/4/2018 0:00,76,089222P,,Cleaner-StnRm Rust 22oz,4,0,1,0,0,0.439999998,0.439999998,0,85.41000366,,NMB,34029090,,,Other,0,0,TRUE,0,,0,1,,,TRUE,,,,
EX9,24380,7/5/2018 0:00,77,089222P,,Cleaner-StnRm Rust 22oz,2,0,1,0,0,0.219999999,0.219999999,0,42.70000076,,NMB,34029090,,,Other,0,0,TRUE,0,,0,1,,,TRUE,,,,
EX9,24380,7/5/2018 0:00,78,089222P,,Cleaner-StnRm Rust 22oz,2,0,1,0,0,0.330000013,0.330000013,0,43.45999908,,NMB,34029090,,,Other,0,0,TRUE,0,,0,1,,,TRUE,,,,
EX9,33475,9/4/2018 0:00,68,089222P,,Cleaner-StnRm Rust 22oz,6,0,1,0,0,0.670000017,0.670000017,0,128.1100006,,NMB,34029090,,,Other,0,0,TRUE,0,,0,1,,,TRUE,,,,
EX9,33597,9/4/2018 0:00,57,089222P,,Cleaner-StnRm Rust 22oz,4,0,1,0,0,0.670000017,0.670000017,0,86.91999817,,NMB,34029090,,,Other,0,0,TRUE,0,,0,1,,,TRUE,,,,
EX9,,,9,089222P,,Cleaner-StnRm Rust 22oz,2,0,1,0,0,0.83,0.83,15.55000019,15.55000019,,NMB,34029090,,,Other,0,0,FALSE,,,0,1,,,FALSE,,,,
EX9,,,19,089222P,,Cleaner-StnRm Rust 22oz,2,0,1,0,0,0.83,0.83,15.55000019,15.55000019,,NMB,34029090,,,Other,0,0,FALSE,,,0,1,,,FALSE,,,,
EX9,,,43,089222P,,Cleaner-StnRm Rust 22oz,2,0,1,0,0,0.83,0.83,15.55000019,15.55000019,,NMB,34029090,,,Other,0,0,FALSE,,,0,1,,,FALSE,,,,
EX9,,,4,089222P,,Cleaner-StnRm Rust 22oz,3,0,1,0,0,0.5,0.5,23.66500092,23.66500092,,NMB,34029090,,,Other,0,0,FALSE,,,0,1,,,FALSE,,,,
